data_scientist,task,project_type,complexity_level,tool_used,data_size_gb,deadline_days,time_hours
Bob,Model_Building,Tabular,Medium,XGBoost,8.399454176640266,6,9.98
Fatima,Model_Deployment,Tabular,Low,Scikit-learn,7.524116419752721,7,5.09
Ethan,Model_Monitoring,Vision,Medium,TensorFlow,5.598773885466011,9,5.14
Bob,Model_Building,NLP,High,LightGBM,3.840720437830286,25,15.62
Charlie,Model_Deployment,Time Series,Medium,PyTorch,4.560386939569925,18,3.99
Alice,Model_Monitoring,Vision,Low,LightGBM,2.151553725179759,5,2.64
Hannah,Data_Wrangling,Time Series,Low,Scikit-learn,6.749836775617982,6,4.17
Charlie,Exploratory_Analysis,Time Series,High,Scikit-learn,6.748574636368716,6,9.15
Diana,Exploratory_Analysis,NLP,Low,LightGBM,4.81448589821124,7,7.8
Ethan,Model_Testing,Tabular,High,TensorFlow,5.563877703867407,9,8.79
Hannah,Model_Building,Tabular,Low,PyTorch,0.9752414113199012,29,5.79
Alice,Data_Cleaning,Vision,Low,LightGBM,4.263304208784243,9,6.81
Hannah,Data_Wrangling,Vision,Low,Scikit-learn,6.2410645583993,6,6.09
Charlie,Model_Testing,NLP,Low,LightGBM,6.120069710464663,22,6.53
Fatima,Exploratory_Analysis,Vision,High,LightGBM,3.98321604648735,23,10.36
Hannah,Exploratory_Analysis,NLP,Low,Scikit-learn,5.188495942682127,28,7.27
Alice,Model_Monitoring,Time Series,Low,XGBoost,9.113665656192403,27,4.31
Charlie,Exploratory_Analysis,NLP,High,Scikit-learn,7.985070579171385,14,11.35
Bob,Model_Deployment,Tabular,Low,TensorFlow,9.273217489098794,14,3.89
Fatima,Data_Cleaning,NLP,Medium,Scikit-learn,3.539392741431601,15,4.64
Fatima,Exploratory_Analysis,Tabular,High,Scikit-learn,5.83853435127021,15,9.35
Fatima,Data_Wrangling,Time Series,High,XGBoost,1.900612835551534,28,6.03
George,Model_Monitoring,Tabular,High,XGBoost,4.175446022139528,7,4.62
Charlie,Feature_Engineering,Tabular,High,Scikit-learn,6.059160415855506,23,10.23
Ethan,Data_Wrangling,NLP,Medium,XGBoost,0.5045993010381408,9,4.51
Charlie,Exploratory_Analysis,NLP,High,Scikit-learn,0.4148663467031348,10,6.98
Fatima,Model_Deployment,Vision,Medium,LightGBM,1.2942951238959481,13,6.17
George,Model_Testing,NLP,Medium,Scikit-learn,1.3746091431664749,17,6.97
Bob,Model_Monitoring,Time Series,High,XGBoost,3.2836693703322872,29,6.37
Fatima,Model_Deployment,Time Series,High,PyTorch,5.165404434117886,15,6.06
Alice,Feature_Engineering,NLP,Medium,XGBoost,9.216636765264951,21,11.64
Alice,Model_Testing,NLP,Low,LightGBM,7.507770934798217,24,5.8
Bob,Exploratory_Analysis,Vision,High,LightGBM,2.172558301033432,28,15.6
Hannah,Model_Building,Tabular,Medium,PyTorch,3.752245031740747,28,8.07
Alice,Data_Cleaning,Tabular,Low,XGBoost,7.233109007775502,18,4.3
Fatima,Data_Wrangling,Time Series,Low,TensorFlow,7.521200696885015,17,5.54
George,Data_Cleaning,Time Series,Low,PyTorch,8.685428312639761,10,2.8
Diana,Model_Building,NLP,High,LightGBM,2.765507986398872,9,13.71
Hannah,Model_Deployment,Vision,Medium,TensorFlow,1.904610396911985,11,4.25
Ethan,Data_Wrangling,Time Series,Low,PyTorch,3.3422237865613553,16,4.08
George,Data_Cleaning,Vision,Medium,XGBoost,2.4088424743430323,17,7.29
George,Feature_Engineering,Time Series,High,XGBoost,7.912795262212649,17,13.64
Ethan,Feature_Engineering,Time Series,Low,TensorFlow,4.847862807367076,8,9.97
Diana,Feature_Engineering,NLP,Medium,TensorFlow,7.479850794424867,21,11.62
Alice,Feature_Engineering,Time Series,Low,XGBoost,5.6881395709741485,14,5.66
Charlie,Data_Wrangling,Time Series,Low,LightGBM,6.494580689182852,6,3.6
Alice,Model_Monitoring,NLP,Medium,XGBoost,2.51909623910008,17,4.16
Ethan,Model_Deployment,Vision,High,Scikit-learn,0.1745901950273399,25,6.52
Diana,Model_Deployment,Tabular,High,XGBoost,1.6133054779248872,27,6.64
Fatima,Data_Wrangling,Tabular,Medium,TensorFlow,0.9700874829474243,28,5.05
Alice,Feature_Engineering,Tabular,Low,TensorFlow,8.97797770380161,27,6.84
Bob,Model_Deployment,Tabular,Low,XGBoost,9.182216569546764,19,4.48
Hannah,Feature_Engineering,Time Series,Medium,TensorFlow,8.189013502397872,21,12.18
Fatima,Feature_Engineering,NLP,Low,Scikit-learn,8.22652858421819,6,7.71
Diana,Model_Building,Time Series,High,LightGBM,5.611952640837905,12,15.88
Charlie,Model_Testing,Time Series,Medium,PyTorch,2.1302678454796453,26,6.76
Ethan,Data_Wrangling,NLP,Low,Scikit-learn,7.138429540483808,24,3.7
Fatima,Exploratory_Analysis,Vision,High,TensorFlow,1.236884564918115,18,10.49
Hannah,Model_Monitoring,Time Series,Low,LightGBM,2.957442477078532,9,3.22
Fatima,Model_Building,Vision,Medium,LightGBM,3.2743577023791914,7,11.1
Hannah,Model_Deployment,Tabular,Medium,LightGBM,0.6130530145420264,22,5.72
Hannah,Exploratory_Analysis,Time Series,Medium,LightGBM,5.534327600900875,6,4.48
Hannah,Model_Monitoring,NLP,Low,PyTorch,3.2913030652497577,6,4.54
Ethan,Model_Deployment,Vision,High,PyTorch,7.9634655546679785,21,6.89
Charlie,Data_Wrangling,Tabular,High,PyTorch,8.522201854162901,16,8.65
Fatima,Exploratory_Analysis,NLP,Low,LightGBM,9.910201816928167,6,6.7
Charlie,Model_Deployment,Time Series,Low,LightGBM,1.8942073550400356,7,3.79
Hannah,Data_Wrangling,Vision,Low,TensorFlow,0.5761369752444682,12,5.63
Ethan,Model_Monitoring,Tabular,High,TensorFlow,8.29661478305717,9,4.1
Bob,Model_Monitoring,Tabular,Medium,PyTorch,1.7262313995168304,9,2.84
Ethan,Model_Deployment,NLP,Medium,XGBoost,2.433348286043498,18,2.81
Alice,Model_Testing,Time Series,Low,LightGBM,8.784285354049771,29,6.66
Diana,Exploratory_Analysis,Tabular,Low,XGBoost,6.861522427829611,12,3.23
Alice,Exploratory_Analysis,Vision,High,PyTorch,4.680529878129104,10,8.85
Diana,Data_Wrangling,Time Series,Low,XGBoost,5.443832512954867,19,3.06
George,Model_Building,Vision,Medium,LightGBM,3.9756728909948693,6,13.47
Alice,Model_Deployment,Time Series,Low,LightGBM,5.481173325028487,12,4.09
Bob,Model_Testing,Vision,High,Scikit-learn,4.372128617050782,7,7.65
Bob,Feature_Engineering,NLP,Medium,PyTorch,6.314309725407036,12,7.79
Diana,Data_Cleaning,Vision,Low,LightGBM,8.798428242197039,5,5.39
George,Exploratory_Analysis,Time Series,High,Scikit-learn,5.3812648105655825,11,11.08
George,Model_Building,Tabular,Low,Scikit-learn,7.807862196602436,5,8.89
Diana,Exploratory_Analysis,Time Series,Medium,XGBoost,0.4319711038842159,26,6.59
George,Exploratory_Analysis,Time Series,High,PyTorch,7.570889389415154,26,13.52
Alice,Exploratory_Analysis,Time Series,Low,TensorFlow,8.230447316252928,19,7.73
Charlie,Model_Monitoring,Time Series,High,LightGBM,1.5841825307528605,19,4.03
Diana,Feature_Engineering,Tabular,High,XGBoost,4.148656253146383,17,11.57
Fatima,Data_Wrangling,Vision,High,Scikit-learn,6.9700896002242905,8,12.24
Ethan,Feature_Engineering,Time Series,High,TensorFlow,7.190172839856227,9,8.75
Hannah,Data_Cleaning,Time Series,High,LightGBM,4.29360893796278,18,5.37
Bob,Model_Deployment,Vision,Low,TensorFlow,6.188007605211279,17,5.49
George,Feature_Engineering,Tabular,Medium,TensorFlow,5.970332762062333,16,6.37
Charlie,Model_Building,Time Series,Low,TensorFlow,5.694818517533168,8,9.73
Alice,Model_Deployment,NLP,Low,Scikit-learn,3.806910160232178,13,4.69
Bob,Model_Building,NLP,High,Scikit-learn,4.298893645893622,18,10.87
Hannah,Data_Wrangling,Time Series,Low,Scikit-learn,9.849927869727113,18,5.13
Alice,Model_Building,Tabular,Low,Scikit-learn,1.944576706991795,27,10.02
Bob,Model_Building,Time Series,Low,Scikit-learn,4.050126768314289,13,8.41
Fatima,Data_Cleaning,Vision,High,XGBoost,7.468071553248559,14,6.2
Ethan,Feature_Engineering,Time Series,High,Scikit-learn,5.420216469085436,15,7.42
Ethan,Data_Wrangling,NLP,High,TensorFlow,9.237306294805,11,11.59
Diana,Model_Building,Time Series,Medium,Scikit-learn,4.576957614809091,15,8.03
Diana,Feature_Engineering,Tabular,Medium,LightGBM,0.4251820354100396,23,7.73
Bob,Model_Building,Time Series,High,XGBoost,1.738581842536941,25,8.22
Bob,Model_Monitoring,Tabular,High,Scikit-learn,9.15697442057419,21,3.95
Diana,Model_Deployment,NLP,Medium,TensorFlow,2.2789624194028613,22,5.93
Alice,Feature_Engineering,Tabular,Low,TensorFlow,6.669019982965435,11,6.3
Fatima,Model_Deployment,Vision,Low,XGBoost,5.617323152011474,26,5.02
George,Model_Deployment,Time Series,High,LightGBM,0.9449617139785742,12,8.83
Bob,Data_Cleaning,Tabular,Low,PyTorch,0.7640571261454321,27,3.29
Charlie,Model_Testing,NLP,Medium,XGBoost,4.325210162833819,28,7.64
George,Data_Wrangling,NLP,Medium,PyTorch,1.9878084345702993,17,6.43
Diana,Data_Wrangling,Vision,High,PyTorch,3.8394868796576764,20,7.8
Charlie,Model_Monitoring,NLP,Medium,Scikit-learn,7.777723405280605,19,4.25
Fatima,Model_Testing,Time Series,High,TensorFlow,5.323712528433379,26,5.55
Alice,Model_Monitoring,NLP,High,Scikit-learn,5.640439279951357,8,3.92
Charlie,Exploratory_Analysis,NLP,Medium,LightGBM,1.9010884919031843,27,7.25
Charlie,Model_Monitoring,Tabular,Medium,PyTorch,2.7803722641211825,18,3.5
George,Model_Monitoring,Time Series,Medium,PyTorch,5.313126819927008,5,4.33
Ethan,Data_Wrangling,Time Series,Low,PyTorch,0.3682503257844866,27,5.56
Ethan,Exploratory_Analysis,Tabular,Low,PyTorch,2.6134967840287127,27,5.15
Ethan,Model_Deployment,Vision,Medium,TensorFlow,1.8675921543379028,5,5.25
Bob,Data_Wrangling,NLP,High,Scikit-learn,5.611543689355324,12,8.26
Bob,Data_Wrangling,Time Series,Medium,XGBoost,7.250442625371026,28,5.83
